datetime,zone_1,zone_2,zone_3,zone_4,zone_5
2005-07-11,1773691,518817,4590251,4952783,13134
2005-07-12,1792805,551186,4903913,5291227,12844
2005-07-13,1816085,545890,4705782,5077446,12609
2005-07-14,1677125,457987,4496913,4852074,12023
2005-07-15,1835232,490680,4619477,4984322,12547
2005-07-16,1956131,528527,4500499,4855941,13926
2005-07-17,1929329,560113,4375141,4720679,13436
2005-07-18,1971454,577698,5005409,5400743,13401
2005-07-19,2001209,580266,5019742,5416206,13242
2005-07-20,2014152,596963,5054864,5454105,13517
2005-07-21,2012101,615667,4795736,5174502,13280
2005-07-22,1964806,590619,4925684,5314716,13714
2005-07-23,1914140,581291,4461499,4813862,13803
2005-07-24,1764792,540166,3982225,4296724,12985
2005-07-25,2034793,634697,5125056,5529839,14178
2005-07-26,2176999,651186,5322449,5742830,13643
2005-07-27,2193380,659848,5323145,5743578,13677
2005-07-28,1850508,494470,4276991,4614778,12826
2005-07-29,1539032,434988,4196867,4528326,12843
2005-07-30,1647096,450982,4127871,4453879,13554
2005-07-31,1509020,443745,3991455,4306690,12957
2005-08-01,1694674,503097,4625062,4990346,12840
2005-08-02,1847361,550018,4990438,5384586,13063
2005-08-03,1956169,588513,5023196,5419936,13222
2005-08-04,2003799,596222,5152969,5559962,13539
2005-08-05,2039641,603322,5044748,5443189,13740
2005-08-06,1939226,558762,4385511,4731871,14117
2005-08-07,1730405,509224,4179208,4509269,13615
2005-08-08,1706904,514067,4440856,4791593,13559
2005-08-09,1628686,471294,4285250,4623690,13140
2005-08-10,1783268,536821,4688529,5058827,13837
2005-08-11,1996631,589840,5017026,5413276,13612
2005-08-12,2071701,616135,5108455,5511926,14281
2005-08-13,2097129,622529,4920186,5308792,15155
2005-08-14,2057417,625963,4857381,5241018,14942
2005-08-15,2074566,605679,5111533,5515248,14269
2005-08-16,1974430,524375,4594589,4957467,13451
2005-08-17,1745311,501899,4531346,4889221,13333
2005-08-18,1601084,423689,4418760,4767749,12186
2005-08-19,1830527,499977,4171873,4501356,13180
2005-08-20,2090705,579483,4477816,4831470,14596
2005-08-21,2078048,593483,4618140,4982880,14163
2005-08-22,1882017,532701,4550341,4909723,12367
2005-08-23,1555265,470141,4320043,4661233,11929
2005-08-24,1622980,479666,4287738,4626373,12252
2005-08-25,1616492,458995,4109216,4433751,12335
2005-08-26,1522826,401808,3841461,4144837,11929
2005-08-27,1554360,376546,3388732,3656342,12635
2005-08-28,1736733,473856,3885057,4191876,13450
2005-08-29,1757160,469680,4554434,4914138,11820
2005-08-30,1904204,497491,4679075,5048626,12091
2005-08-31,1900933,490544,4709697,5081662,12743
2005-09-01,1713361,454773,4392672,4739597,12019
2005-09-02,1708306,462596,4371958,4717249,12527
2005-09-03,1669031,447555,3706740,3999479,12929
2005-09-04,1501546,419000,3383554,3650758,12675
2005-09-05,1439456,381902,3369064,3635121,12418
2005-09-06,1441927,383469,3913181,4222225,11139
2005-09-07,1379885,374763,3914756,4223927,10984
2005-09-08,1467544,377446,3994273,4309728,11052
2005-09-09,1520335,397244,4000260,4316186,11032
2005-09-10,1497832,450653,4149588,4477414,13091
2005-09-11,1497867,450657,4149365,4477176,13060
2005-09-12,1497944,450664,4159713,4488368,12942
2005-09-13,1498110,450679,4156602,4484996,12821
2005-09-14,1498452,450717,4150139,4478003,12807
2005-09-15,1499185,450820,4161452,4490233,12913
2005-09-16,1500625,451106,4174653,4504488,13118
2005-09-17,1796364,453729,4020257,4337759,12794
2005-09-18,1714739,443366,3708069,4000904,11959
2005-09-19,1701445,444430,4196423,4527848,11365
2005-09-20,1704004,449647,4260586,4597080,11075
2005-09-21,1602121,430984,4150373,4478159,10865
2005-09-22,1611363,432939,4255351,4591431,11134
2005-09-23,1735430,478209,4429010,4778805,11362
2005-09-24,1495164,399901,3403883,3672696,11593
2005-09-25,1446868,361302,3392630,3660558,11283
2005-09-26,1489397,385995,3967490,4280822,10696
2005-09-27,1530181,390050,3930921,4241369,10483
2005-09-28,1418301,360109,3724568,4018712,10326
2005-09-29,1349966,342577,3667500,3957139,10298
2005-09-30,1252225,312791,3490645,3766309,11247
2005-10-01,1329576,337654,3236536,3492123,12293
2005-10-02,1333781,362063,3301609,3562343,11462
2005-10-03,1328523,356874,3727589,4021970,10852
2005-10-04,1342173,353623,3735036,4030007,10768
2005-10-05,1383258,352359,3984611,4299302,10661
2005-10-06,1451930,365427,3923265,4233104,10780
2005-10-07,1389663,363706,3854578,4158996,11792
2005-10-08,1411885,367432,3467070,3740876,12252
2005-10-09,1229901,337996,3138861,3386736,11539
2005-10-10,1250152,330561,3556971,3837879,11166
2005-10-11,1255350,328481,3631524,3918318,10965
2005-10-12,1236259,324048,3607456,3892344,10620
2005-10-13,1226675,337824,3599899,3884190,10695
2005-10-14,1228214,326108,3554173,3834859,11193
2005-10-15,1212784,325512,3222053,3476491,12066
2005-10-16,1165266,315957,3172028,3422523,11639
2005-10-17,1257816,329591,3602431,3886925,11275
2005-10-18,1282436,333233,3678350,3968844,11278
2005-10-19,1219626,342719,3669305,3959085,11111
2005-10-20,1289444,347463,3599034,3883256,10688
2005-10-21,1206252,330969,3736557,4031650,11879
2005-10-22,1225631,337597,3397755,3666084,12813
2005-10-23,1243785,337797,3275028,3533660,12391
2005-10-24,1398229,389608,3855682,4160179,12458
2005-10-25,1466212,431265,4353914,4697777,12809
2005-10-26,1431408,408711,4191962,4523034,13335
2005-10-27,1499212,430400,4192601,4523719,13165
2005-10-28,1502264,386134,4069562,4390963,13683
2005-10-29,1533389,403762,3816487,4117895,15236
2005-10-30,1453392,381388,3498085,3774339,13999
2005-10-31,1383076,363440,3821917,4123751,12978
2005-11-01,1353050,358668,3811950,4112995,12415
2005-11-02,1189435,345697,3818974,4120574,12445
2005-11-03,1314887,373154,3904273,4212614,12876
2005-11-04,1318663,348594,3684117,3975065,13228
2005-11-05,1216607,323894,3226920,3481752,13632
2005-11-06,1196432,320373,3173060,3423631,12911
2005-11-07,1221279,323529,3596298,3880304,12076
2005-11-08,1288089,344882,3810934,4111910,13000
2005-11-09,1214193,327033,3724625,4018773,12082
2005-11-10,1264672,339342,3865424,4170692,13316
2005-11-11,1543683,415992,4025944,4343896,15006
2005-11-12,1496327,401846,3696451,3988371,15737
2005-11-13,1344417,367535,3471718,3745889,14710
2005-11-14,1219613,321208,3656666,3945445,13090
2005-11-15,1202331,317745,3692388,3983992,12973
2005-11-16,1179430,329731,3712979,4006209,13153
2005-11-17,1490272,456599,4379319,4725191,15751
2005-11-18,1767001,520630,4703302,5074767,18405
2005-11-19,1720430,497614,4281323,4619455,18361
2005-11-20,1437448,405681,3783494,4082288,16392
2005-11-21,1414227,419392,4218126,4551263,15945
2005-11-22,1583560,472208,4395038,4742156,16475
2005-11-23,1776091,562373,4741285,5115754,19036
2005-11-24,1458589,446247,3888324,4195406,19862
2005-11-25,1758090,561182,4375866,4721464,21832
2005-11-26,1840172,549004,4252044,4587857,19933
2005-11-27,1705720,516546,4022048,4339696,16827
2005-11-28,1342067,409180,4153569,4481603,14639
2005-11-29,1236770,343766,3850391,4154476,13579
2005-11-30,1363660,405550,4081378,4403707,14866
2005-12-01,1407153,483500,4726665,5099982,17140
2005-12-02,1579546,505798,4917968,5306393,18106
2005-12-03,1581841,533853,4824717,5205777,18752
2005-12-04,1315307,431275,4340000,4682763,15820
2005-12-05,1701921,554465,4904640,5292015,16145
2005-12-06,1762500,578097,5043147,5441460,16325
2005-12-07,1887946,608066,5241690,5655690,16855
2005-12-08,1900335,621807,5364140,5787812,17463
2005-12-09,1836027,589049,5090964,5493057,17103
2005-12-10,1874591,598257,4868313,5252815,17920
2005-12-11,1660915,555718,4663752,5032096,16620
2005-12-12,1609302,543309,5023320,5420070,16112
2005-12-13,1757098,597705,5446255,5876410,16847
2005-12-14,2094561,702717,5954670,6425000,18305
2005-12-15,1937277,656254,5656442,6103209,18371
2005-12-16,1830219,520171,4884654,5270447,16370
2005-12-17,1914906,561881,4650671,5017978,16531
2005-12-18,1781743,524996,4497323,4852519,15844
2005-12-19,1886531,598967,5127987,5533005,16174
2005-12-20,2037481,640832,5434797,5864054,18130
2005-12-21,2066236,636473,5379661,5804561,18217
2005-12-22,1980408,597911,5153090,5560092,17571
2005-12-23,1872688,544578,4343549,4686595,16950
2005-12-24,1703005,470645,3699801,3991987,16451
2005-12-25,1556140,472300,4178733,4509434,14730
2005-12-26,1554567,473316,4211281,4544509,14613
2005-12-27,1553807,471903,4186208,4517417,14485
2005-12-28,1555761,471285,4149666,4477920,14426
2005-12-29,1555673,472657,4163856,4493146,14512
2005-12-30,1554032,471931,4139796,4467093,14677
2005-12-31,1556253,469234,4011652,4328695,14873
2006-01-01,1648307,475455,3590719,3874292,16159
2006-01-02,1762769,547674,4473417,4826724,16555
2006-01-03,1467936,436253,4628863,4994445,14676
2006-01-04,1526972,457264,4609476,4973528,14549
2006-01-05,1467663,448285,4542266,4901008,14845
2006-01-06,1621074,516277,4800664,5179824,16445
2006-01-07,1991231,554753,4704730,5076308,18089
2006-01-08,1722862,491824,4260311,4596776,15719
2006-01-09,1357432,394195,4183156,4513530,13999
2006-01-10,1400962,395450,4262428,4599063,13481
2006-01-11,1390662,430464,4397568,4744879,13866
2006-01-12,1297647,424818,4218822,4552019,13994
2006-01-13,1322978,452243,4166329,4495371,14134
2006-01-14,1652985,508191,4133784,4460261,14945
2006-01-15,1852827,553560,4677631,5047068,18055
2006-01-16,1776200,513456,4745690,5120505,16153
2006-01-17,1585905,493293,4873027,5257900,14624
2006-01-18,1498788,478559,4612148,4976411,14774
2006-01-19,1628964,483633,4873552,5258468,15070
2006-01-20,1435590,423110,4237936,4572636,14331
2006-01-21,1376741,392463,3902607,4210821,14576
2006-01-22,1559243,494690,4257086,4593299,15374
2006-01-23,1637193,505804,4716216,5088700,14038
2006-01-24,1381319,429119,4602286,4965770,13885
2006-01-25,1580250,527817,4917496,5305882,15336
2006-01-26,1780779,556157,5122721,5527325,16344
2006-01-27,1735670,535895,4863262,5247366,16131
2006-01-28,1667066,444750,4005710,4322067,15306
2006-01-29,1487984,397768,3831423,4134004,14694
2006-01-30,1212702,381140,4017141,4334395,13398
2006-01-31,1414665,453040,4428453,4778203,14599
2006-02-01,1544358,495235,4536985,4895321,14512
2006-02-02,1477620,471802,4449115,4800499,14220
2006-02-03,1135840,366890,3950454,4262439,12957
2006-02-04,1414417,436121,3970646,4284236,15039
2006-02-05,1741752,527398,4219027,4552237,15741
2006-02-06,1736541,530562,4805936,5185509,15589
2006-02-07,1660205,517665,4861701,5245681,15320
2006-02-08,1788961,549304,5097491,5500096,15928
2006-02-09,1795604,564272,5130255,5535450,16749
2006-02-10,1879929,552023,5017127,5413381,16176
2006-02-11,1840065,580227,4682794,5052637,16488
2006-02-12,1897666,573673,4598807,4962023,16387
2006-02-13,1626172,537453,4677107,5060550,14308
2006-02-14,1626257,537360,4681556,5064220,14298
2006-02-15,1626464,537545,4666355,5047310,14298
2006-02-16,1626935,538025,4669719,5051709,14307
2006-02-17,1627949,539764,4691000,5074950,14314
2006-02-18,1630023,542654,4690607,5075729,14314
2006-02-19,1633499,548186,4703582,5094213,14303
2006-02-20,1721777,549762,4800301,5179434,15801
2006-02-21,1475187,449697,4810801,5190761,14523
2006-02-22,1593255,473134,4918427,5306889,14956
2006-02-23,1483377,424588,4553630,4913268,13476
2006-02-24,1627648,444185,4656429,5024198,14575
2006-02-25,1663443,474696,4344334,4687438,14894
2006-02-26,1746062,508970,4747259,5122199,16584
2006-02-27,1808352,553469,5309755,5729136,16282
2006-02-28,1378348,389970,4818093,5198622,13399
2006-03-01,1292702,373852,4560058,4920212,12383
2006-03-02,1353428,368462,4502381,4857974,12485
2006-03-03,1458785,432006,4746978,5121894,15027
2006-03-04,1673667,498185,4563971,4924422,15970
2006-03-05,1584302,443619,4162149,4490858,14632
2006-03-06,1607378,480915,4574059,4935314,14628
2006-03-07,1581194,440890,4559436,4919539,13790
2006-03-08,1609314,465562,4640229,5006709,14027
2006-03-09,1376346,374499,4090797,4413874,12967
2006-03-10,1214357,313972,3660449,3949528,12962
2006-03-11,1204815,320993,3234839,3490298,14069
2006-03-12,1186533,321377,3176408,3427247,12861
2006-03-13,1246683,329266,3620725,3906663,12502
2006-03-14,1211406,327984,3719264,4012988,12323
2006-03-15,1372471,414276,4336590,4679090,14270
2006-03-16,1385925,376001,4212125,4544786,13648
2006-03-17,1363120,379927,4191011,4522004,14305
2006-03-18,1513920,436645,4284975,4623394,16069
2006-03-19,1587192,449809,4065749,4386850,14974
2006-03-20,1566522,448537,4431736,4781750,14260
2006-03-21,1701888,520226,4867496,5251932,14932
2006-03-22,1641358,502522,4831151,5212715,14739
2006-03-23,1619776,461167,4499377,4854729,13844
2006-03-24,1563997,436674,4285381,4623827,14003
2006-03-25,1679808,486690,4022906,4340619,14280
2006-03-26,1661708,489644,3982490,4297010,14463
2006-03-27,1510321,447020,4174030,4503688,13589
2006-03-28,1407351,404601,4111650,4436374,13363
2006-03-29,1314147,392061,3929154,4239460,12918
2006-03-30,1335049,380654,3922540,4232323,12945
2006-03-31,1226251,331282,3642440,3930100,12601
2006-04-01,1181729,315025,3195880,3448256,12882
2006-04-02,1166821,320042,3151860,3400755,12194
2006-04-03,1134289,323018,3577138,3859635,11439
2006-04-04,1207121,346680,3868788,4174326,12433
2006-04-05,1286944,356696,4174245,4503909,12615
2006-04-06,1288012,359437,3966744,4280017,12583
2006-04-07,1195054,321006,3754317,4050811,11932
2006-04-08,1182750,311088,3519237,3797159,13454
2006-04-09,1320505,362593,3767640,4065185,13714
2006-04-10,1331417,378895,3958376,4270996,12591
2006-04-11,1240644,352552,3784725,4083619,12092
2006-04-12,1161372,327402,3589107,3872544,11646
2006-04-13,1220151,341532,3586904,3870170,11592
2006-04-14,1209757,337374,3287465,3547078,12552
2006-04-15,1346235,362063,3174968,3425695,13073
2006-04-16,1213409,332772,2901804,3130954,12121
2006-04-17,1174305,309156,3548878,3829143,11999
2006-04-18,1251196,353064,3740194,4035579,11799
2006-04-19,1229560,339183,3663384,3952697,11692
2006-04-20,1228043,351147,3682752,3973591,11771
2006-04-21,1197464,333739,3561691,3842968,11618
2006-04-22,1156280,317333,3289383,3549144,12294
2006-04-23,1214060,330200,3222151,3476600,11645
2006-04-24,1218575,350218,3606112,3890899,11377
2006-04-25,1248745,351365,3705773,3998433,11230
2006-04-26,1131206,331283,3672005,3962001,11784
2006-04-27,1200016,335727,3746948,4042862,11436
2006-04-28,1204873,331936,3563430,3844845,11513
2006-04-29,1239258,328096,3244011,3500190,12357
2006-04-30,1225404,328310,3158868,3408321,11954
2006-05-01,1196495,343352,3625766,3912104,11227
2006-05-02,1195152,340052,3719643,4013391,11423
2006-05-03,1131537,322087,3655874,3944591,11245
2006-05-04,1205874,353080,3767639,4065181,11324
2006-05-05,1189980,339765,3519316,3797245,11058
2006-05-06,1283005,350047,3073160,3315839,11790
2006-05-07,1196374,345684,2969480,3203975,12067
2006-05-08,1299726,365528,3712964,4006193,12194
2006-05-09,1216823,349916,3706654,3999381,11659
2006-05-10,1215773,353338,3747792,4043767,11573
2006-05-11,1119793,333685,3703716,3996214,11199
2006-05-12,1143810,338976,3575001,3857332,11628
2006-05-13,1194591,340392,3169708,3420014,12392
2006-05-14,1150612,322971,3061653,3303427,11819
2006-05-15,1160069,348880,3599199,3883439,11525
2006-05-16,1154637,343360,3682210,3973006,11989
2006-05-17,1161427,336289,3669842,3959662,11427
2006-05-18,1149095,329314,3668255,3957954,11582
2006-05-19,1163979,328922,3648814,3936973,12266
2006-05-20,1233531,342851,3273184,3531670,12698
2006-05-21,1245894,351537,3148562,3397200,11922
2006-05-22,1180080,337853,3618504,3904271,11653
2006-05-23,1128778,336314,3688039,3979300,11450
2006-05-24,1108952,348795,3706389,3999100,11481
2006-05-25,1511760,456650,4454916,4806761,12932
2006-05-26,1511168,456650,4454916,4806761,12932
2006-05-27,1510576,456650,4454916,4806761,12932
2006-05-28,1509983,456650,4454916,4806761,12932
2006-05-29,1509391,456650,4454916,4806761,12932
2006-05-30,1508799,456650,4454916,4806761,12932
2006-05-31,1508206,456650,4454916,4806761,12932
2006-06-01,1666888,501055,4743755,5118416,12033
2006-06-02,1526539,470678,4411889,4760331,11559
2006-06-03,1438638,409290,3532819,3811812,11009
2006-06-04,1359608,402866,3251937,3508742,11070
2006-06-05,1233397,356729,3696531,3988462,10531
2006-06-06,1242871,361498,3925910,4235961,10722
2006-06-07,1317432,402249,4063482,4384399,10946
2006-06-08,1324047,379996,4139480,4466404,10951
2006-06-09,1425525,408423,3994254,4309706,11060
2006-06-10,1394022,385070,3289783,3549578,11317
2006-06-11,1380282,392301,3189872,3441776,11562
2006-06-12,1241169,368998,3716420,4009920,10819
2006-06-13,1337172,379442,3985160,4299892,11257
2006-06-14,1223806,375812,3910057,4218853,11007
2006-06-15,1368251,415653,4043814,4363179,11187
2006-06-16,1456043,445662,4061553,4382323,11591
2006-06-17,1601054,495425,4034867,4353527,12367
2006-06-18,1628043,523119,4354661,4698581,12486
2006-06-19,1596031,478722,4651824,5019222,12061
2006-06-20,1677821,497078,4640680,5007202,12102
2006-06-21,1706759,508948,4662041,5030244,11862
2006-06-22,1876862,594962,4858878,5242638,13081
2006-06-23,1683034,535466,4640058,5006527,13109
2006-06-24,1654863,503511,4119600,4444948,13060
2006-06-25,1578868,489543,3764583,4061886,12903
2006-06-26,1454857,487467,4357548,4701699,12244
2006-06-27,1473293,419465,4241320,4576289,12694
2006-06-28,1706259,479307,4380084,4726015,12812
2006-06-29,1686592,488404,4333133,4675357,12451
2006-06-30,1589868,469223,4088999,4411940,12134
2006-07-01,1669233,504649,3852740,4157011,13256
2006-07-02,1896911,594822,4189810,4520709,13742
2006-07-03,1877875,586163,4443699,4794657,13456
2006-07-04,1841737,585087,4162083,4490794,13859
2006-07-05,1597661,495687,4117824,4443036,13005
2006-07-06,1343468,465692,3944016,4255498,12114
2006-07-07,1326161,430689,3884617,4191404,12039
2006-07-08,1358066,431049,3611290,3896486,12343
2006-07-09,1366644,430907,3705942,3998615,12164
2006-07-10,1566018,511147,4403242,4751007,12512
2006-07-11,1593577,536486,4887760,5273800,13019
2006-07-12,1632329,572192,4899464,5286434,13671
2006-07-13,1697169,533362,4639640,5006076,13167
2006-07-14,1671844,548458,4738198,5112421,13922
2006-07-15,1757079,553247,4414221,4762845,14621
2006-07-16,1777845,578406,4529708,4887459,13904
2006-07-17,1773740,613260,5304555,5723521,13761
2006-07-18,1817750,636574,5264152,5679926,13645
2006-07-19,1637941,589097,4994118,5388551,13285
2006-07-20,1614810,562989,5086574,5488322,13283
2006-07-21,1758210,589910,4823032,5203960,13614
2006-07-22,1871906,568320,4386442,4732880,13639
2006-07-23,1632998,524052,3980562,4294927,12671
2006-07-24,1671393,526492,4568446,4929260,12122
2006-07-25,1564498,474416,4650856,5018175,12438
2006-07-26,1797527,559947,4902952,5290194,12939
2006-07-27,1931030,603576,5151729,5558621,13177
2006-07-28,1997429,616090,4867169,5251579,13564
2006-07-29,1896826,584427,4669133,5037901,14205
2006-07-30,1935069,609301,4610255,4974370,14149
2006-07-31,2051226,653354,5217682,5629785,14354
2006-08-01,2161855,672465,5524530,5960876,14380
2006-08-02,1670228,544040,4519788,4876702,13527
2006-08-03,1665256,544037,4519413,4876304,13527
2006-08-04,1662981,544041,4519162,4876033,13527
2006-08-05,1671211,544064,4519812,4876738,13527
2006-08-06,1669453,544137,4522931,4880108,13527
2006-08-07,1667958,544354,4530353,4888125,13527
2006-08-08,1674524,545005,4541580,4900252,13527
2006-08-09,1855451,553744,4511655,4867978,12036
2006-08-10,1870810,598723,4353622,4697462,12589
2006-08-11,1601244,470745,4300261,4639882,12003
2006-08-12,1563118,441612,3723638,4017708,11950
2006-08-13,1558556,466276,3729553,4024090,11954
2006-08-14,1691780,510170,4693944,5064674,12370
2006-08-15,1816710,536730,4892234,5278624,12669
2006-08-16,1766180,542768,4594295,4957153,11916
2006-08-17,1670031,500455,4564137,4924608,11741
2006-08-18,1710509,511010,4582914,4944868,12355
2006-08-19,1866890,550038,4460298,4812568,13380
2006-08-20,1966144,552580,4529770,4887530,13266
2006-08-21,1811533,550971,4587239,4949533,12214
2006-08-22,1729500,537855,4698983,5070108,12141
2006-08-23,1813799,548175,4672008,5041003,12282
2006-08-24,1808720,542563,4688739,5059057,12417
2006-08-25,1869993,563008,4846697,5229490,12801
2006-08-26,1922698,569630,4487415,4841825,13964
2006-08-27,1879297,567013,4202877,4534809,13184
2006-08-28,1978309,612632,4867609,5252053,13217
2006-08-29,2075158,616160,5129693,5534850,13415
2006-08-30,1797803,516041,4659004,5026966,13108
2006-08-31,1455486,403395,4085935,4408633,12157
2006-09-01,1244534,349841,3658850,3947801,12871
2006-09-02,1407933,395101,3218866,3473058,13181
2006-09-03,1616918,462041,3198527,3451110,13091
2006-09-04,1434021,375620,3186174,3437784,13049
2006-09-05,1374684,372417,3715109,4008501,11628
2006-09-06,1439616,416074,3947245,4258981,11699
2006-09-07,1446112,395004,4054263,4374454,11475
2006-09-08,1425192,384849,4060388,4381059,11491
2006-09-09,1582812,401605,3767290,4064809,11916
2006-09-10,1547070,415371,3682692,3973531,11625
2006-09-11,1367793,389686,3811469,4112476,11127
2006-09-12,1291182,357445,3753261,4049675,11332
2006-09-13,1239542,355571,3737061,4032191,11557
2006-09-14,1303103,373908,3829411,4131837,11256
2006-09-15,1357491,378536,3780645,4079219,11442
2006-09-16,1368421,380668,3484351,3759516,12065
2006-09-17,1434898,401279,3597604,3881718,11981
2006-09-18,1470603,428297,4170396,4499762,11645
2006-09-19,1442873,413472,4073268,4394957,11528
2006-09-20,1308100,359847,3672156,3962156,11153
2006-09-21,1281136,350311,3653718,3942263,11308
2006-09-22,1273997,344963,3565097,3846645,12151
2006-09-23,1495024,397568,3414097,3683714,12647
2006-09-24,1592641,402837,3520785,3798830,12495
2006-09-25,1345777,351071,3769762,4067477,11499
2006-09-26,1325270,346585,3729300,4023815,11621
2006-09-27,1287505,353844,3727796,4022191,11836
2006-09-28,1307952,341088,3708485,4001353,12334
2006-09-29,1263530,328350,3530933,3809777,12109
2006-09-30,1330468,323879,3271642,3530007,12874
2006-10-01,1317438,329076,3162113,3411823,12048
2006-10-02,1285636,357674,3640596,3928108,11680
2006-10-03,1315367,356596,3859385,4164181,11517
2006-10-04,1356000,374144,4057408,4377848,11900
2006-10-05,1368235,369913,3738130,4033342,11766
2006-10-06,1296376,346555,3756450,4053112,12831
2006-10-07,1410272,375393,3597995,3882140,15232
2006-10-08,1297508,355632,3305494,3566530,12998
2006-10-09,1243613,357925,3736423,4031503,12554
2006-10-10,1263920,340020,3804579,4105041,11861
2006-10-11,1230747,327969,3715257,4008670,11803
2006-10-12,1128442,331968,3714878,4008257,11944
2006-10-13,1209747,379734,3953954,4266222,14263
2006-10-14,1407138,386552,3665929,3955437,15125
2006-10-15,1435912,390865,3636386,3923568,14603
2006-10-16,1352834,386932,4036467,4355253,12944
2006-10-17,1270869,377074,4013420,4330384,12802
2006-10-18,1202507,352695,3844288,4147896,12172
2006-10-19,1140691,343700,3755331,4051905,11810
2006-10-20,1133320,339846,3671612,3961572,12446
2006-10-21,1394957,372708,3396358,3664571,13943
2006-10-22,1470768,382811,3427793,3698489,13821
2006-10-23,1430104,434686,4158604,4487038,13805
2006-10-24,1605572,471874,4506186,4862081,14325
2006-10-25,1513359,461749,4311533,4652051,13736
2006-10-26,1462961,451201,4319846,4661020,14004
2006-10-27,1349605,429918,4215302,4548215,14655
2006-10-28,1306050,382509,3648908,3937073,13904
2006-10-29,1396141,398349,3623319,3909464,14735
2006-10-30,1307909,385887,3907157,4215728,13586
2006-10-31,1257782,352670,3748272,4044290,13047
2006-11-01,1228135,349038,3710720,4003771,12027
2006-11-02,1211410,369684,3898157,4206013,12948
2006-11-03,1535813,487721,4475981,4829487,15425
2006-11-04,1788625,538801,4325267,4666863,17129
2006-11-05,1733046,520822,3990274,4305413,15253
2006-11-06,1533960,473529,4267154,4604161,13875
2006-11-07,1443206,465595,4407079,4755144,14227
2006-11-08,1180328,378979,4062330,4383156,13177
2006-11-09,1197733,356858,3795388,4095127,12617
2006-11-10,1194966,345999,3677521,3967952,13865
2006-11-11,1243827,331015,3255208,3512268,14373
2006-11-12,1390669,390596,3585811,3868988,15519
2006-11-13,1274843,385598,4117568,4442757,14590
2006-11-14,1209986,363552,3904660,4213028,13534
2006-11-15,1301734,412058,3976919,4290998,14623
2006-11-16,1155403,352870,3884768,4191570,12857
2006-11-17,1281177,402066,3946743,4258434,14894
2006-11-18,1493939,449225,4026914,4344945,16409
2006-11-19,1563062,481203,3974895,4288817,16149
2006-11-20,1366484,475889,4509318,4865460,16573
2006-11-21,1629899,536812,4547962,4907153,17318
2006-11-22,1509256,474500,4243789,4578907,13639
2006-11-23,1507841,474494,4244148,4579296,13716
2006-11-24,1508518,474449,4245009,4580229,13821
2006-11-25,1505013,474404,4245821,4581108,13863
2006-11-26,1502209,474068,4244304,4579476,13793
2006-11-27,1498012,473348,4235461,4569938,13632
2006-11-28,1479079,471194,4212413,4545083,13434
2006-11-29,1178639,389789,4027343,4345401,13072
2006-11-30,1103764,358473,3925846,4235889,12729
2006-12-01,975346,335951,3731170,4025833,13044
2006-12-02,1312877,436792,3949411,4261320,15388
2006-12-03,1424151,499721,4259932,4596371,15470
2006-12-04,1580979,559033,4997681,5392406,15881
2006-12-05,1691698,563254,5181457,5590698,15642
2006-12-06,1608828,557429,5046803,5445406,15439
2006-12-07,1463720,522696,4947679,5338452,15472
2006-12-08,1964897,717999,5664451,6111844,18564
2006-12-09,2029503,646375,5099837,5502630,18184
2006-12-10,1716594,529097,4321015,4662280,15831
2006-12-11,1512707,480220,4453249,4804963,14436
2006-12-12,1529330,511076,4626348,4991738,14210
2006-12-13,1359964,463996,4351744,4695440,13682
2006-12-14,1399351,457444,4283218,4621493,13890
2006-12-15,1333294,432129,4163630,4492465,14033
2006-12-16,1588768,436373,3995464,4311014,14286
2006-12-17,1581191,450203,3899431,4207392,14076
2006-12-18,1249490,402835,4000850,4316820,13154
2006-12-19,1267932,410166,4388091,4734654,12987
2006-12-20,1560971,517096,4844244,5226848,14793
2006-12-21,1429002,487251,4570365,4931323,14075
2006-12-22,1236092,427968,4225352,4559062,13763
2006-12-23,1226261,378357,3562049,3843355,13635
2006-12-24,1447500,446029,3630821,3917557,15143
2006-12-25,1505006,501816,3791121,4090524,15598
2006-12-26,1425482,444133,3886250,4193169,14532
2006-12-27,1690726,498059,4342421,4685381,15720
2006-12-28,1761371,525746,4427866,4777569,15984
2006-12-29,1664632,489206,4258605,4594935,15631
2006-12-30,1625248,461693,3992024,4307289,16039
2006-12-31,1466739,454800,3777130,4075423,15405
2007-01-01,1273352,419693,3509753,3786926,14255
2007-01-02,1519639,478175,4305549,4645590,14013
2007-01-03,1637611,533343,4667070,5035675,14437
2007-01-04,1355192,458182,4345217,4688395,14062
2007-01-05,1058598,364208,3937095,4248032,13515
2007-01-06,1039731,354066,3348201,3612616,13290
2007-01-07,1248159,432417,3697054,3989026,13518
2007-01-08,1218424,455920,4420038,4769127,13418
2007-01-09,1630638,575392,4973756,5366590,15458
2007-01-10,1652906,600560,5247955,5662454,16503
2007-01-11,1754737,620762,5295430,5713676,16453
2007-01-12,1429959,508935,4592635,4955358,15184
2007-01-13,1225063,410632,3674990,3965221,14467
2007-01-14,1134741,353723,3326598,3589303,12653
2007-01-15,998216,363786,3691507,3983039,12666
2007-01-16,1198434,447301,4415561,4764301,14009
2007-01-17,1699933,603156,5310941,5730413,16472
2007-01-18,1846282,668515,5469383,5901370,17014
2007-01-19,1494575,556946,4946303,5336962,16498
